date ,stream,variable,value
2019-10-29,QPA,DOC,2.75
2019-11-05,QPA,DOC,3.75
2019-11-12,QPA,DOC,1.05
2019-11-19,QPA,DOC,1.53
2019-11-26,QPA,DOC,NA
2019-12-03,QPA,DOC,1.06
2019-12-10,QPA,DOC,NA
2019-12-17,QPA,DOC,2.07
2019-12-24,QPA,DOC,0.87
2019-12-31,QPA,DOC,2.86
2020-01-07,QPA,DOC,NA
2020-01-14,QPA,DOC,2.2
2020-01-21,QPA,DOC,0.81
2020-01-28,QPA,DOC,0.8
2020-02-04,QPA,DOC,0.74
2020-02-11,QPA,DOC,0.88
2020-02-18,QPA,DOC,1.49
2020-02-25,QPA,DOC,3.95
2017-01-03,QPA,DIC,3.42
2017-01-10,QPA,DIC,4.34
2017-01-17,QPA,DIC,1.86
2017-01-24,QPA,DIC,4.68
2017-01-31,QPA,DIC,4.95
2017-02-07,QPA,DIC,NA
2017-02-14,QPA,DIC,5.31
2017-02-21,QPA,DIC,5.24
2017-02-28,QPA,DIC,5.11
2017-03-07,QPA,DIC,0.63
2017-03-14,QPA,DIC,4.12
2017-03-21,QPA,DIC,4.16
2017-03-28,QPA,DIC,4.4
2017-04-04,QPA,DIC,5.33
2017-04-11,QPA,DIC,4.86
2017-04-18,QPA,DIC,2.81
2017-04-25,QPA,DIC,3.72
2017-05-02,QPA,DIC,2.61
2017-05-09,QPA,DIC,4.91
2017-05-16,QPA,DIC,4.67
2017-05-23,QPA,DIC,5.13
2017-05-30,QPA,DIC,3.47
2017-06-06,QPA,DIC,7.06
2017-06-13,QPA,DIC,5.4
2017-06-20,QPA,DIC,2.66
2017-06-27,QPA,DIC,4.25
2017-07-03,QPA,DIC,4.7
2017-07-11,QPA,DIC,3.75
2017-07-18,QPA,DIC,3.81
2017-07-25,QPA,DIC,3.81
2017-08-01,QPA,DIC,3.29
2017-08-08,QPA,DIC,3.39
2017-08-15,QPA,DIC,2.57
2017-08-22,QPA,DIC,3.28
2017-08-29,QPA,DIC,3.46
2017-09-05,QPA,DIC,4.37
2017-09-12,QPA,DIC,3.43
2017-09-18,QPA,DIC,3.68
2017-09-26,QPA,DIC,3.68
2017-10-03,QPA,DIC,3.42
2017-10-10,QPA,DIC,2.96
2017-10-17,QPA,DIC,NA
2017-10-24,QPA,DIC,3.38
2017-10-31,QPA,DIC,3.71
2017-11-07,QPA,DIC,3.26
2017-11-14,QPA,DIC,3.53
2017-11-21,QPA,DIC,3.94
2017-11-28,QPA,DIC,4.19
2017-12-05,QPA,DIC,2.95
